state,statefp,placefp,placename,type,funcstat,county,city
WA,53,41225,McCleary city,Incorporated Place,A,Grays Harbor County,McCleary
WA,53,41470,Machias CDP,Census Designated Place,S,Snohomish County,Machias
WA,53,41645,McKenna CDP,Census Designated Place,S,Pierce County,McKenna
WA,53,41785,McMillin CDP,Census Designated Place,S,Pierce County,McMillin
WA,53,42275,Malden town,Incorporated Place,A,Whitman County,Malden
WA,53,42310,Malo CDP,Census Designated Place,S,Ferry County,Malo
WA,53,42345,Malone CDP,Census Designated Place,S,Grays Harbor County,Malone
WA,53,42380,Malott CDP,Census Designated Place,S,Okanogan County,Malott
WA,53,42415,Maltby CDP,Census Designated Place,S,Snohomish County,Maltby
WA,53,42450,Manchester CDP,Census Designated Place,S,Kitsap County,Manchester
WA,53,42800,Mansfield town,Incorporated Place,A,Douglas County,Mansfield
WA,53,42835,Manson CDP,Census Designated Place,S,Chelan County,Manson
WA,53,43010,Maple Falls CDP,Census Designated Place,S,Whatcom County,Maple Falls
WA,53,43062,Maple Heights-Lake Desire CDP,Census Designated Place,S,King County,Maple Heights-Lake Desire
WA,53,43150,Maple Valley city,Incorporated Place,A,King County,Maple Valley
WA,53,43255,Maplewood CDP,Census Designated Place,S,Pierce County,Maplewood
WA,53,43325,Marblemount CDP,Census Designated Place,S,Skagit County,Marblemount
WA,53,43395,Marcus town,Incorporated Place,A,Stevens County,Marcus
WA,53,43491,Marietta-Alderwood CDP,Census Designated Place,S,Whatcom County,Marietta-Alderwood
WA,53,43640,Markham CDP,Census Designated Place,S,Grays Harbor County,Markham
WA,53,43762,Marrowstone CDP,Census Designated Place,S,Jefferson County,Marrowstone
WA,53,43815,Martha Lake CDP,Census Designated Place,S,Snohomish County,Martha Lake
WA,53,43885,Maryhill CDP,Census Designated Place,S,Klickitat County,Maryhill
WA,53,43955,Marysville city,Incorporated Place,A,Snohomish County,Marysville
WA,53,44165,Mattawa town,Incorporated Place,A,Grant County,Mattawa
WA,53,44260,May Creek CDP,Census Designated Place,S,Snohomish County,May Creek
WA,53,44480,Mead CDP,Census Designated Place,S,Spokane County,Mead
WA,53,44585,Meadowdale CDP,Census Designated Place,S,Snohomish County,Meadowdale
WA,53,44620,Meadow Glade CDP,Census Designated Place,S,Clark County,Meadow Glade
